"Geography","CancerDeaths","medIncome","popEst2015","povertyPercent","MedianAge","AvgHouseholdSize","PercentMarried","PctUnemployed16_Over","BirthRate"
"Shelby County, Kentucky",155.7,57447,45632,12.8,38.7,2.67,55.7,5.7,5.768189204
"Stanislaus County, California",164.9,50917,538388,18.1,33.5,3.08,47.9,15.2,6.025884863
"Carroll County, Indiana",166.3,55318,19856,10.9,41.5,2.55,57.3,8.2,5.682622023
"Bedford County, Pennsylvania",151.2,46890,48586,13.6,45,2.43,57.2,7.3,4.585306863
"Randolph County, Missouri",191.8,41346,25104,18.3,38.4,2.72,47.1,8.9,2.837290098
"Lane County, Oregon",169.1,44976,362895,18.4,39.3,2.39,45.5,9.9,4.213583027
"Osage County, Kansas",181.3,52749,15847,12.9,42.6,2.44,57.4,8.2,4.447806354
"Tuscola County, Michigan",181.9,43186,53777,15.6,43.3,2.49,55.9,9.3,6.304667879
"Chisago County, Minnesota",149,75122,54293,6.2,40.2,2.63,57.2,5.5,5.001246158
"Treutlen County, Georgia",193.7,32536,6785,27.1,42.8,2.38,41.6,5.4,1.448321264
"Coweta County, Georgia",169.3,60809,138427,12.5,37.6,2.73,57.8,7,6.63071161
"Saline County, Illinois",192.1,38329,24548,21,42.4,2.43,49,13,6.192236599
"Queen Anne's County, Maryland",173.8,80650,48904,7.5,43.5,2.75,57.4,5.3,5.627462015
"Lake County, Colorado",152.5,46765,7485,16,39,2.38,52.5,5.7,4.060324826
"Clinton County, Missouri",196.5,51221,20609,12.4,41,2.48,58.2,5.8,6.863636364
"Candler County, Georgia",174.8,31829,10886,29.1,37.1,2.75,44.9,8.1,3.962338172
"Hidalgo County, Texas",123,34368,842304,33.5,28.8,3.62,51,9.9,6.82588583
"Benton County, Washington",163.9,58750,190309,14.6,35.5,2.72,53.5,6.9,6.253360451
"Campbell County, Wyoming",215.9,79358,49220,7.1,32.7,2.71,56.6,4,5.19665272
"Wayne County, Ohio",170.3,50106,116063,13.9,38.8,2.6,56.1,4.8,6.420871739
"Garza County, Texas",164.8,49947,6415,28,39.4,2.7,46.7,2,1.260504202
"Lake County, Michigan",213.1,30990,11424,29.2,51.5,2.53,46.6,13.2,4.422110553
"Tallapoosa County, Alabama",200.5,36779,40844,21.3,42.8,2.48,50.2,9,5.462418119
"St. Louis County, Missouri",166,60093,1003362,9.6,40.2,2.44,48.6,7.4,5.188221792
"Jackson County, Oklahoma",209.2,41370,25574,17.2,34.1,2.48,51.9,7.6,6.363038474
"Pottawatomie County, Oklahoma",190,45710,71875,17.5,37.6,2.61,51.3,6.8,5.802028117
"Florence County, Wisconsin",171.9,44562,4464,12.8,51.1,2.32,59.9,7.2,3.462050599
"Fulton County, Ohio",181.2,54666,42537,10.5,39.8,2.59,59.8,6.7,6.632331301
"Lafayette County, Wisconsin",166,52260,16829,11.7,41.4,2.51,57.4,3.6,5.702647658
"Luna County, New Mexico",181.8,27268,24518,30.6,39,2.7,47.1,13.8,8.62924023
"Cook County, Illinois",177,55058,5238216,17.1,35.9,2.65,41.9,10.7,4.994880839
"Calhoun County, Georgia",162.8,30760,6479,38.5,38.2,2.13,33.6,7.7,7.258753202
"Chickasaw County, Mississippi",198.9,31616,17328,24.7,37.7,2.63,43.4,12.2,7.273181705
"Stillwater County, Montana",127.4,60812,9486,8.4,46.7,2.44,65.2,3.6,3.636363636
"Wyandot County, Ohio",190.6,47905,22243,10,42,2.38,55.9,6.6,4.962066844
"Gaston County, North Carolina",193.5,42056,213442,16.7,39.8,2.61,48.2,11.2,4.970818676
"Imperial County, California",130.3,38737,180191,23.6,32.2,3.61,44.2,17.4,7.022539698
"Florence County, South Carolina",195.5,42232,138900,19.5,38.2,2.61,46.1,12.1,5.663639027
"Madison County, Iowa",172.2,62230,15753,8.8,40.5,2.48,60.7,5.7,4.930617065
"Socorro County, New Mexico",167.8,32285,17256,31,36.8,3.43,28.5,7.3,2.688172043
"Lake County, Minnesota",164.5,52381,10631,10.5,50.2,2.06,62.3,4.8,7.011070111
"Fayette County, Tennessee",174.7,56573,39165,14.7,43.7,2.58,56.4,8.5,5.28264626
"Jackson County, Alabama",211.1,36923,52419,22,42.2,2.56,55.3,10.1,4.011185878
"Pike County, Pennsylvania",157.4,58375,55949,10.6,46,2.66,55,11.6,5.499704317
"Leelanau County, Michigan",132.5,60622,21981,8.9,52.4,2.31,61.4,7.1,5.887253541
"Lake County, Oregon",139.2,40328,7829,19.3,579.6,2.08,52.6,10.6,2.9390681
"Washburn County, Wisconsin",209.5,42079,15552,13.4,49.2,2.16,59.3,6.6,5.452638937
"Jefferson County, Mississippi",199.1,26408,7507,38.5,34.8,2.81,26.3,15.9,4.610130905
"Greenwood County, South Carolina",182.4,38878,69838,22.1,38.9,2.52,44.6,12.9,4.631760644
"Coryell County, Texas",184.5,47018,75503,14.8,30.6,2.86,50.4,9.5,6.044769217
"El Dorado County, California",151.5,70235,184452,11.4,44.9,2.69,55.8,11.1,4.76817356
"Clearfield County, Pennsylvania",183,40230,80994,16.5,43.9,2.38,52.1,7.8,4.179907113
"Alexandria city, Virginia",135.4,86419,153511,9.6,36,2.21,44.1,4.5,6.214827502
"Honolulu County, Hawaii",135,73985,998714,9.8,36.9,3.06,50.2,5.6,6.457474103
"Grays Harbor County, Washington",194.6,43205,71122,19.6,42.7,2.51,47.5,14.3,5.713875529
"Peach County, Georgia",222.3,40550,26720,21.7,34.7,2.5,44.7,11.3,2.874946891
"Wyoming County, New York",181.1,53783,41013,12.3,41.1,2.38,50.9,7.4,4.815216083
"Gogebic County, Michigan",195.2,33600,15431,20.9,48.3,2.1,46,9.5,2.773556231
"Izard County, Arkansas",184.1,32744,13445,22,48.1,2.28,56.7,10,4.812157028
"Red Lake County, Minnesota",157.6,48188,4055,9.2,42.3,2.43,57.5,3.5,10.14120668
"Presque Isle County, Michigan",171.8,39420,12841,16.1,53.2,2.13,59.6,13.1,3.178368121
"Huerfano County, Colorado",151.5,32750,6492,22,53.5,2.08,48.1,15,3.911735206
"Andrew County, Missouri",156,56309,17296,10.7,42.3,2.51,61.4,5,7.556742323
"Georgetown County, South Carolina",190.9,44283,61298,19.6,47.5,2.55,50.1,11.2,5.073731567
"Clinch County, Georgia",190,31577,6893,28.5,36.1,2.49,41.9,10.7,11.29568106
"Webster County, Missouri",166.7,41561,37483,17.8,38.1,2.78,57.6,6.3,7.851851852
"Washington Parish, Louisiana",224.8,29749,46371,29.1,39.2,2.54,46.8,15,6.368497812
"Lassen County, California",169.9,49995,31345,19.4,37,2.24,43.5,10.9,7.549668874
"Ventura County, California",146.1,74967,850536,11.5,37.1,3.08,50.6,8.6,5.34009399
"Dallas County, Arkansas",250,34018,7604,21,43.4,2.26,52.3,8.3,1.704199635
"Greene County, Indiana",197.4,41077,32441,15.5,42.3,2.54,54.4,7,3.957556639
"Belmont County, Ohio",185.2,41983,69154,16.1,43.9,2.35,50.6,8.5,3.534951105
"Telfair County, Georgia",159.8,29244,16400,33.7,40.3,2.37,40.1,4.4,2.772573998
"Gosper County, Nebraska",187.4,55319,1973,9.1,46.7,2.46,64.9,5.1,1.38121547
"Pike County, Arkansas",184.3,36893,10824,20,41.4,2.5,56.9,6.6,8.52225021
"Warren County, Iowa",170.6,67342,48626,6.3,38.4,2.54,56.6,4.8,4.428405952
"Val Verde County, Texas",143.9,41437,48988,22.2,31.7,3.2,51.9,9.3,6.376628075
"Burt County, Nebraska",201.4,49345,6585,10.6,47.4,2.33,60.7,3.3,7.352941176
"Trousdale County, Tennessee",217,40251,8042,17.5,40.2,2.65,49.2,10.5,9.777777778
"Porter County, Indiana",178.4,63030,167688,10,39.2,2.62,52.9,7.3,5.159405563
"Valley County, Nebraska",156.3,44726,4154,12.3,46,2.21,64.2,1.4,5.01285347
"Roseau County, Minnesota",158.2,53838,15770,9.2,41.2,2.44,59.7,2.7,6.330669945
"Vance County, North Carolina",198.5,33609,44568,27,40,2.65,37.7,12.2,6.678752027
"Crockett County, Texas",165.6,49614,3710,13.7,40.5,2.53,64,1.8,5.249679898
"Millard County, Utah",131.6,52623,12645,12.9,34.9,2.98,62.7,4.3,8.884297521
"Clark County, Illinois",199.1,50645,15979,13.9,43.4,2.4,57,8.5,5.790960452
"Ionia County, Michigan",173,48681,64223,15.2,37.9,2.72,50,10.4,6.91088967
"Stafford County, Kansas",126,45945,4236,14.1,43.7,2.35,63.1,2.6,6.165919283
"Menifee County, Kentucky",229.5,30828,6358,27.1,41.6,2.56,53,14.7,4.84804631
"Bradford County, Pennsylvania",183.8,47242,61281,12.9,44.1,2.52,54.1,5.6,5.284901395
"York County, South Carolina",185.8,54196,251195,14.6,37.9,2.61,53.6,8.9,5.197966517
"Webster Parish, Louisiana",205,36003,40021,22.2,40.9,2.51,44,7.6,6.027155315
"Navarro County, Texas",201.9,43091,48323,20.3,38.2,2.7,51.5,10.9,7.936654936
"Marion County, Illinois",219.1,44289,38339,18.6,41.7,2.4,51.4,9.6,6.338625621
"Floyd County, Kentucky",248.2,30127,37756,31.1,40.5,2.45,50.1,9.7,4.732510288
"Montgomery County, Tennessee",195.4,50935,193479,13.9,30.3,2.76,54.2,9.7,6.724977636
"Botetourt County, Virginia",148.7,63646,33347,7.8,46.4,2.55,61.4,4.6,3.635817308
"Berks County, Pennsylvania",162.4,55936,415271,14.3,39.7,2.61,49.6,9,5.334555643
"Tuolumne County, California",159.9,49476,53709,14.3,48.6,2.28,51.8,12.9,3.962223187
"Attala County, Mississippi",200.3,32521,19043,23.6,40.8,2.52,46.7,12.6,6.091370558
"Troup County, Georgia",186,41141,69763,19.5,36.1,2.73,43.1,11.9,6.920828113
"Greenbrier County, West Virginia",195.1,36996,35516,21.1,45.3,2.28,52.2,7.2,4.354354354
"Elbert County, Colorado",148.3,83603,24735,5.9,45.1,2.82,62.6,6.7,3.311386522
"Frederick County, Maryland",155.6,83698,245322,6.5,39.1,2.68,54.7,5.8,4.557287265
"Jefferson County, Indiana",169.5,45964,32416,16.2,40.7,2.37,49.9,9.2,6.689494925
"Franklin County, Kansas",175,50745,25609,13.3,39,2.56,58.8,6.9,7.582938389
"Muskogee County, Oklahoma",211.7,41015,69699,22.2,37.8,2.53,48.9,8.2,6.694613026
"Posey County, Indiana",168.7,59975,25512,10.7,42.5,2.51,59.8,5.3,6.012884753
"Monroe County, Ohio",188.9,40646,14409,15.7,45.6,2.37,56.7,7.4,6.140350877
"Roberts County, South Dakota",179.9,45911,10311,20.4,39.2,2.74,45.6,7.6,7.142857143
"Wayne County, Nebraska",142.1,53290,9367,13.6,30.1,2.33,53.9,3,5.981533521
"Massac County, Illinois",169.8,40590,14766,20.7,43.7,2.45,50.5,8.8,4.987212276
"Lawrence County, Ohio",201.5,41608,61109,17.5,41.2,2.6,50,8,5.379259802
"Colusa County, California",153.3,48006,21482,14.3,34,3.04,55.1,10.4,6.602564103
"Faulk County, South Dakota",146.6,46633,2337,13.2,46.9,2.16,52.4,0.7,15.65656566
"Sagadahoc County, Maine",173.6,55630,35149,10.5,45.2,2.26,54.2,5.7,5.263857504
"Lanier County, Georgia",209.2,37113,10312,23.9,33.6,2.72,48.5,14.6,6.906534326
"Fulton County, New York",183.4,45409,53992,17.8,42.8,2.4,49.3,9.3,4.80729036
"Washington County, Alabama",212.2,41321,16804,18.5,40.9,2.75,52.4,20,6.039551042
"Northampton County, North Carolina",189.9,32063,20426,25.8,47.1,2.35,38.6,15.9,2.454590083
"Love County, Oklahoma",200.2,52662,9870,12.5,39.1,2.98,54.4,4,4.884922499
"Hemphill County, Texas",189.7,66505,4264,8.9,34.4,2.77,68,3.7,5.503512881
"Taney County, Missouri",173.6,35731,54592,18.7,41.5,2.43,50.7,9,5.505782701
"Carroll County, New Hampshire",168.8,57556,47285,10.7,50.3,2.22,59.4,5.8,7.381867511
"Lincoln County, Idaho",145.9,44046,5297,14.1,33.8,3.21,59.5,6,6.751054852
"Walthall County, Mississippi",202.5,31607,14638,26.4,39.4,2.58,46,11.1,4.465958776
"Duplin County, North Carolina",164.5,34109,59159,27.7,38.8,2.68,48.2,11.3,6.430547019
"San Juan County, Utah",123.9,40590,15772,29.2,30.6,3.75,44.4,8.4,4.937906564
"New Hanover County, North Carolina",164,49905,220358,18,37.8,2.33,45.8,8.9,4.936553568
"Hardeman County, Tennessee",213.7,35321,25707,25.3,39.8,2.59,41.1,18.7,4.627249357
"Franklin County, Idaho",136.3,50545,13074,10.8,32.4,3.03,65,5,9.856115108
"Wilcox County, Georgia",195,32722,8857,30.7,39.4,2.52,39.7,6.7,2.918781726
"Kane County, Illinois",156.6,72131,530847,10.7,35.9,3.01,54.3,7.6,5.683202717
"Haakon County, South Dakota",170.8,43699,1861,12,48.3,2.39,66.3,2.5,3.205128205
"Wright County, Iowa",159.3,50108,12773,12,44.6,2.31,57,5.7,6.48694187
"Loudoun County, Virginia",136.5,122641,375629,3.9,35.3,3.08,61.2,4,6.198748382
"Ashland County, Ohio",189.4,47369,53213,14.6,39.9,2.5,53.6,7.8,5.646027941
"Butler County, Nebraska",167.3,54240,8115,9.2,44.7,2.26,60.8,4.2,11.30834977
"Lavaca County, Texas",148.2,47041,19836,13.8,44.9,2.48,60,4,5.642384106
"East Baton Rouge Parish, Louisiana",178.8,46831,446753,18.4,33.2,2.57,39,7.6,4.474235159
"Carter County, Tennessee",193.2,34354,56486,24.6,43.6,2.31,53.2,8.1,3.66841353
"Pike County, Georgia",224.3,50395,17941,13.7,38.9,2.92,56.2,10.4,3.422926717
"Barton County, Kansas",178.3,46942,27103,17.8,39.3,2.38,54.3,6.8,7.120636018
"Robertson County, Texas",169,43194,16659,19,40.9,2.69,49,9.2,4.658564815
"Anderson County, South Carolina",177.3,43124,194692,16.7,40.5,2.55,52,9.2,6.330413359
"Jones County, Texas",179.9,41079,19970,23.4,39.2,2.26,42.7,4.2,5.620219488
"Richmond County, North Carolina",205.3,34665,45437,24.7,39.9,2.42,43.4,13.8,4.202401372
"Palm Beach County, Florida",144.3,52225,1422789,14.9,44.1,2.54,46.9,9.5,5.134424767
"Hancock County, Georgia",160.6,26309,8551,35.3,43.9,2.49,30.2,14.6,3.166561115
"Daviess County, Missouri",206.3,41610,8253,16.8,40.5,2.65,58.1,5.7,7.483794932
"Sully County, South Dakota",179.1,59879,1426,6.3,44.6,2.34,60.3,1.7,13.62007168
"Beaverhead County, Montana",121.4,41602,9300,15.1,42.6,2.15,53.2,6.5,2.454308094
"Morehouse Parish, Louisiana",186.4,30636,26395,29.4,39.3,2.5,42.9,8,4.979184013
"Ward County, Texas",189.6,53244,11721,14,34.8,2.86,50,4.4,7.0703125
"Dakota County, Nebraska",177.8,50289,20781,14.8,33.7,2.81,57.1,7.4,9.833738848
"Iroquois County, Illinois",185,46895,28672,15.8,44.1,2.42,55.5,7.5,6.404437721
"Marion County, Kansas",143.8,47723,12103,11.9,45,2.4,57.9,5,6.021594684
"Park County, Wyoming",152,55354,29228,10.8,43.6,2.38,56.3,3.8,5.701401192
"Chippewa County, Michigan",170.7,38989,38033,19.9,39,2.46,45,11.7,5.803003309
"Page County, Iowa",179.7,46927,15527,14.6,43.5,2.34,53.2,5.1,8.296346876
"Logan County, North Dakota",108.8,44696,1935,11.9,51.8,2.12,62.2,2.2,4.361370717
"Alexander County, Illinois",181.1,30699,6780,35.6,39.7,2.65,37.8,13.9,4.373757455
"Sharkey County, Mississippi",215.1,27877,4585,37.4,38.5,2.64,32.9,22.1,7.020547945
"Bryan County, Oklahoma",191.7,38187,44884,19.1,37.1,2.58,50.1,8.1,7.559938128
"Clarke County, Mississippi",191.4,34910,16006,22.4,41.3,2.51,48.7,11.7,6.761177754
"Hampshire County, West Virginia",212.1,35980,23353,21.2,44.6,2.25,38.7,8.1,2.28320067
"Deuel County, South Dakota",113.9,51246,4333,10.1,44.6,2.25,64.9,3.1,6.575682382
"Carbon County, Utah",155.9,47340,20479,15.7,35.1,2.61,54.3,7.4,8.165882856
"Pointe Coupee Parish, Louisiana",188.2,44469,22251,18.3,42.6,0.0256,45.3,8.3,4.275724276
"Custer County, Idaho",160.5,42704,4087,15.7,52,2.33,62.7,3.3,3.808180536
"Lackawanna County, Pennsylvania",178.3,45098,211917,15.4,42.3,2.41,45.8,6.9,3.545136747
"Rabun County, Georgia",169,38449,16281,20.6,47.8,2.34,55.1,7.3,5.049875312
"Lancaster County, Virginia",190.6,45827,10965,13.7,55.6,2.13,51.4,7.9,4.297328688
"Utah County, Utah",120.4,60957,575205,12.6,24.4,3.62,58.8,5.5,8.614426925
"Sauk County, Wisconsin",176.8,50243,63642,11.9,40.9,2.45,53.8,5.5,4.992503748
"Boundary County, Idaho",161,42720,11318,16.7,43.7,2.55,61.2,4.7,5.523535062
"Linn County, Missouri",197.9,37597,12308,20,42.8,2.53,53.3,4.5,5.692675159
"Cameron Parish, Louisiana",133.3,59300,6817,12.2,42.6,2.57,64.9,6.3,7.70252324
"Cochise County, Arizona",154.6,45025,126427,18.7,40,2.42,50.4,8.7,5.457360828
"Campbell County, Tennessee",218.3,33333,39752,22.7,43,2.48,51.4,9.9,4.345366074
"Providence County, Rhode Island",173.6,47278,633473,18.3,37.1,2.53,40.8,9.5,4.931882987
"Mackinac County, Michigan",160.3,39359,10890,15.4,50.9,2.07,54.2,12.5,3.381147541
"Forsyth County, Georgia",129.9,86413,212438,6.3,38,3.14,62.6,6.2,5.246691229
"Taylor County, West Virginia",172.2,40305,16912,16.8,43,2.45,52.3,9.5,6.801152738
"Campbell County, Kentucky",198.6,52349,92066,13.2,37.3,2.49,47.2,6.8,4.943288381
"Harris County, Georgia",139.4,66249,33381,9.5,43.1,2.79,56.7,8,5.808219178
"Mecosta County, Michigan",177.2,41572,43067,23,35.7,2.61,44.2,12.2,4.303337477
"Brunswick County, North Carolina",169.2,47387,122765,15.7,50,2.34,57.4,11.4,6.292374849
"Calhoun County, Texas",182.1,46705,21895,17.3,38.1,2.68,54.3,7.2,7.088398929
"Wright County, Missouri",203.2,31600,18268,22.7,41.7,0.0248,54,9.4,5.680317041
"Kankakee County, Illinois",192.2,56326,110879,14.7,37.3,2.61,46.7,9.8,4.551301453
"Ward County, North Dakota",162.4,62526,71275,8.5,31.1,2.49,50.8,2.6,7.89058058
"Douglas County, Colorado",128.4,107250,322387,3.7,37.6,2.76,65.6,4.1,4.964771639
"Carroll County, Missouri",197.3,39017,8992,16.5,42.4,2.48,53.6,8.9,9.99000999
"Pierce County, Wisconsin",149.8,68471,40889,10.8,35.9,2.51,51.5,3.6,4.109589041
"Morris County, Texas",196.3,37954,12516,18.6,43.3,2.53,55.2,12.7,8.245481928
"Dixon County, Nebraska",168.3,52601,5797,10.7,41.9,2.51,58.1,4.5,7.055749129
"Anchorage Municipality, Alaska",167.5,75200,298695,10,32.5,2.77,47.7,6.7,5.994293642
"Henderson County, Illinois",178.2,50999,6995,11.7,49.1,2.26,57.3,7,3.706395349
"Lowndes County, Georgia",180.9,38887,112865,24.5,29.4,2.78,40.6,13,6.143722718
"Horry County, South Carolina",178.6,42830,309199,17.6,43,2.43,50.1,8.7,4.420790925
"Southampton County, Virginia",181.8,46521,18109,15.3,45.4,2.53,48.3,7.2,5.455508475
"Erie County, Pennsylvania",182.5,45476,278045,16.4,38.8,2.43,46.7,8,4.900650039
"Eagle County, Colorado",80.8,76661,53605,7.8,35.6,2.94,51.4,4.4,4.860486049
"Allegany County, Maryland",172.2,39808,72528,18.5,41.5,2.33,44.2,10,4.613602728
"Pulaski County, Indiana",183.2,43770,12889,14.2,41.3,2.48,55,7,1.880766501
"Pendleton County, Kentucky",188.1,47023,14408,15.6,41.5,2.67,55.5,6.4,5.568862275
"Daniels County, Montana",197.5,47376,1760,10.8,50.3,1.99,57.2,2.6,7.560137457
"Delaware County, Indiana",184.8,39449,116852,22.2,34.8,2.4,42.1,10.1,3.877479319
"LaSalle Parish, Louisiana",209.6,44139,14974,18,38.6,2.46,52.3,6.3,5.144490314
"Winn Parish, Louisiana",227.5,36644,14568,26.8,41.3,2.36,46.9,6.3,4.891661195
"Albany County, New York",176.1,60371,309381,13.5,37.9,2.35,40.8,6.4,3.774039071
